description,amount,type,category,transaction_date
Café Central,127.46,DEBIT,Transportes,2025-07-07
Spotify,209.01,DEBIT, Habitação,2026-03-14
Aldi,149.27,DEBIT,transporte,2026-01-23
McDonald's,74.71,DEBIT,RESTAURANTES,2025-04-18
Steam,187.38,DEBIT,RESTAURANTES,2025-10-18
CP - Comboios,246.02,DEBIT,Supermercado,2025-09-08
Amazon,23.84,DEBIT,RESTAURANTES,2026-01-15
Udemy,219.51,DEBIT,Outros,2025-08-04
Óptica Nova,214.29,DEBIT,Vestuário,2026-03-08
Coursera,96.1,DEBIT,Vestuário,2025-04-15
Cinema NOS,199.44,DEBIT,Supermercado,2026-03-11
Mango,42.83,DEBIT,Serviços,2025-06-02
McDonald's,74.71,DEBIT,RESTAURANTES,2025-04-18
Netflix,228.33,DEBIT, Habitação,2025-05-17
Steam,9.16,DEBIT,saude,2026-01-04
Mango,159.63,DEBIT,Saúde,2025-11-12
Condomínio,221.4,DEBIT,Serviços,2025-04-13
CP - Comboios,215.39,DEBIT,invest,2025-09-25
Spotify,38.1,DEBIT,supermercado,2026-03-14
Burger King,170.76,DEBIT,Lazer,2025-05-26
Hospital CUF,19.31,DEBIT,,2026-03-28
Transferência,49.69,DEBIT,,2025-04-19
Intermarché,87.73,DEBIT,Saúde,2025-09-14
FNAC,32.02,DEBIT,,2025-11-26
Café Central,238.63,DEBIT,Outros,2026-03-13
XTB,149.78,DEBIT,Transportes,2025-05-13
CP - Comboios,184.67,DEBIT,transporte,2025-08-06
eBay,30.46,DEBIT,,2026-01-14
Café Central,102.78,DEBIT,supermercado,2025-08-28
Netflix,219.34,DEBIT,Transportes,2025-04-19
Águas de Lisboa,212.69,DEBIT,Transportes,2025-11-01
Águas de Lisboa,34.46,DEBIT,Vestuário,2025-07-13
Hospital CUF,234.01,DEBIT,servicos,2025-06-24
CP - Comboios,237.04,DEBIT,lazer ,2025-11-19
NOS Comunicações,220.4,DEBIT,RESTAURANTES,2025-10-28
Salário,1435.1,CREDIT,Outros,2026-01-03
Uber,122.08,DEBIT,Serviços,2025-12-24
eBay,82.42,DEBIT,servicos,2025-04-22
Cinema NOS,237.12,DEBIT,servicos,2025-12-17
NOS Comunicações,240.11,DEBIT,Investimentos,2026-01-20
ISCTE,138.5,DEBIT,supermercado,2025-12-24
ISCTE,57.73,DEBIT,Supermercado,2026-01-03
ISCTE,53.29,DEBIT,saude,2025-10-02
